#PROFILE,#PACKAGE_TYPE,#PRIVILEGE_LEVEL,#API_VERSION_ISSUED,#API_VERSION_EXPIRED,#DOCUMENTED,#PRIVILEGE_NAME,#NOTE,#PRIVILEGE_DISPLAY,#PRIVILEGE_DESCRIPTION,#PRIVILEGE_GROUP,#CHANGED_TO_2_3_1,#CHANGED_TO_2_4_0
common,wrt,public,1,2,yes,http://tizen.org/privilege/nfc,,,,IDS_TPLATFORM_BODY_HARDWARE_CONTROLS_ABB,http://tizen.org/privilege/nfc.admin or http://tizen.org/privilege/nfc.cardemulation or http://tizen.org/privilege/nfc.common or http://tizen.org/privilege/nfc.p2p or http://tizen.org/privilege/nfc.tag,http://tizen.org/privilege/nfc.admin or http://tizen.org/privilege/nfc.cardemulation or http://tizen.org/privilege/nfc.common or http://tizen.org/privilege/nfc.p2p or http://tizen.org/privilege/nfc.tag
mobile,wrt,public,2,9.9,yes,http://tizen.org/privilege/nfc.admin,,IDS_TPLATFORM_BODY_MANAGING_NFC_GENERAL_SETTINGS,IDS_TPLATFORM_SBODY_THIS_APPLICATION_CAN_CHANGE_NFC_SETTINGS_SUCH_AS_TURNING_NFC_ON_OR_OFF,IDS_TPLATFORM_BODY_HARDWARE_CONTROLS_ABB,,
wearable,wrt,public,2.3.1,9.9,yes,http://tizen.org/privilege/nfc.admin,,IDS_TPLATFORM_BODY_MANAGING_NFC_GENERAL_SETTINGS,IDS_TPLATFORM_SBODY_THIS_APPLICATION_CAN_CHANGE_NFC_SETTINGS_SUCH_AS_TURNING_NFC_ON_OR_OFF,IDS_TPLATFORM_BODY_HARDWARE_CONTROLS_ABB,,
mobile,wrt,public,2.3,9.9,yes,http://tizen.org/privilege/nfc.cardemulation,,IDS_TPLATFORM_HEADER_USING_NFC_CARD_EMULATION_MODE,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_ACCESS_SMART_CARD_DETAILS_SUCH_AS_CREDIT_CARD_DETAILS_AND_ALLOW_USERS_TO_MAKE_PAYMENTS_VIA_NFC,IDS_TPLATFORM_BODY_HARDWARE_CONTROLS_ABB,,
wearable,wrt,public,2.3.1,9.9,yes,http://tizen.org/privilege/nfc.cardemulation,,IDS_TPLATFORM_HEADER_USING_NFC_CARD_EMULATION_MODE,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_ACCESS_SMART_CARD_DETAILS_SUCH_AS_CREDIT_CARD_DETAILS_AND_ALLOW_USERS_TO_MAKE_PAYMENTS_VIA_NFC,IDS_TPLATFORM_BODY_HARDWARE_CONTROLS_ABB,,
mobile,wrt,public,2,9.9,yes,http://tizen.org/privilege/nfc.common,,IDS_TPLATFORM_BODY_USING_NFC_COMMON_FEATURES,IDS_TPLATFORM_SBODY_THIS_APPLICATION_CAN_USE_NFC_COMMON_FEATURES,IDS_TPLATFORM_BODY_HARDWARE_CONTROLS_ABB,,
wearable,wrt,public,2.3.1,9.9,yes,http://tizen.org/privilege/nfc.common,,IDS_TPLATFORM_BODY_USING_NFC_COMMON_FEATURES,IDS_TPLATFORM_SBODY_THIS_APPLICATION_CAN_USE_NFC_COMMON_FEATURES,IDS_TPLATFORM_BODY_HARDWARE_CONTROLS_ABB,,
mobile,wrt,public,1,9.9,yes,http://tizen.org/privilege/nfc.p2p,,IDS_TPLATFORM_BODY_PUSHING_NFC_MESSAGES,IDS_TPLATFORM_SBODY_THIS_APPLICATION_CAN_PUSH_NFC_MESSAGES_TO_OTHER_DEVICES,IDS_TPLATFORM_BODY_HARDWARE_CONTROLS_ABB,,
wearable,wrt,public,2.3.1,9.9,yes,http://tizen.org/privilege/nfc.p2p,,IDS_TPLATFORM_BODY_PUSHING_NFC_MESSAGES,IDS_TPLATFORM_SBODY_THIS_APPLICATION_CAN_PUSH_NFC_MESSAGES_TO_OTHER_DEVICES,IDS_TPLATFORM_BODY_HARDWARE_CONTROLS_ABB,,
mobile,wrt,public,1,9.9,yes,http://tizen.org/privilege/nfc.tag,,IDS_TPLATFORM_BODY_READING_WRITING_TO_NFC_TAGS,IDS_TPLATFORM_SBODY_THIS_APPLICATION_CAN_READ_AND_WRITE_NFC_TAG_INFORMATION,IDS_TPLATFORM_BODY_HARDWARE_CONTROLS_ABB,,
wearable,wrt,public,2.3.1,9.9,yes,http://tizen.org/privilege/nfc.tag,,IDS_TPLATFORM_BODY_READING_WRITING_TO_NFC_TAGS,IDS_TPLATFORM_SBODY_THIS_APPLICATION_CAN_READ_AND_WRITE_NFC_TAG_INFORMATION,IDS_TPLATFORM_BODY_HARDWARE_CONTROLS_ABB,,
